Lote_Ancho(m),Lote_Largo(m),No. Habitaciones,No. Baños,Año_Construida,Capacidad_Garaje,Estrato,Precio_Casa
9,32,2,3,1967,1,10,938709.48
19,22,1,3,1992,1,6,1094754.8
11,34,4,2,1984,2,7,1140893.75
11,21,3,1,2007,0,2,623778.72
15,36,1,1,1982,2,2,1171129.98
8,40,4,3,1963,2,10,1103596.75
12,35,1,3,1983,0,10,1182251.79
20,16,1,3,2010,0,1,777109.6
12,33,3,3,1953,1,4,1002442.63
17,10,5,2,2008,1,7,792390.34
19,34,5,1,1978,2,9,1749593.3
15,17,1,3,1955,1,3,599189.37
20,14,2,2,1998,1,7,882159.36
5,12,4,3,1989,0,7,513931.01
6,18,2,3,2014,0,7,570904.54
9,13,2,1,2018,1,2,413261.33
17,17,1,3,1976,0,6,777488.86
12,31,1,1,1955,1,2,763240.27
5,19,1,1,1962,0,6,312150.98
9,29,1,1,2013,0,10,862772.77
17,26,5,2,2011,0,3,1216490.09
19,27,1,2,1968,0,2,1064956.56
14,35,5,1,1992,1,6,1329915.39
12,20,5,3,1969,2,2,742433.71
13,10,1,1,2017,0,5,470060.1
17,27,3,3,1993,1,2,1131195.71
11,37,4,1,1972,1,3,1025547.94
18,13,2,3,1951,0,3,559180.71
14,15,5,2,1971,2,6,808964.56
14,11,4,3,2006,0,6,702110.17
10,17,3,1,2021,1,10,801032.87
11,21,2,2,1956,2,3,588550.81
11,30,2,3,2005,1,3,903991.36
10,27,5,3,2016,0,1,841623.65
8,30,1,3,1965,2,7,751033.02
14,21,3,3,2000,1,8,1009142.28
5,21,5,3,2021,1,2,573503.02
14,11,3,2,1961,1,4,496363.88
10,34,1,2,2002,0,10,1033430.54
11,38,1,2,1954,2,7,1047078.02
19,30,5,2,1976,0,8,1524898.32
10,17,1,1,1961,0,1,298518.15
14,12,4,2,1966,0,4,565432.64
19,13,2,3,1955,2,6,745708.65
15,14,5,3,1954,0,3,656160.17
8,12,3,2,2006,0,5,484184.34
7,21,4,3,1977,0,10,751475.82
20,24,5,2,2018,0,9,1470602.4
20,23,1,3,2008,1,3,1118216.95
17,15,1,1,1982,0,5,645958.45
12,22,1,1,2011,1,8,820216.27
7,29,1,2,1999,0,6,638082.53
10,34,3,2,1968,2,4,888974.16
9,24,4,2,2018,1,8,908291.56
11,33,2,3,2015,1,3,990725.97
11,23,3,2,1996,1,3,740560.3
16,38,3,1,1988,1,4,1441826.91
12,39,2,3,2017,2,9,1416654.74
13,14,2,2,1982,0,5,578143.7
15,15,1,3,1962,1,8,695591.26
17,35,3,3,2003,2,6,1563204.23
18,20,5,2,1956,1,3,945751.81
14,40,2,3,1963,0,8,1406260.91
17,18,2,1,1968,1,9,903176.59
7,23,4,1,2003,2,8,740742.56
6,32,5,3,1969,0,4,683867.67
5,35,5,2,1978,2,6,728446.17
17,13,2,3,1973,0,1,531884.82
11,11,1,1,2012,0,4,391933.39
6,20,4,3,2006,0,8,682767.67
20,37,5,3,1957,1,1,1670483.15
19,26,2,1,2011,2,3,1190241.27
5,18,5,3,1978,2,1,456536.42
16,16,4,3,1966,2,9,944506.01
12,32,4,2,2015,0,2,1054323.82
20,37,3,2,1955,1,9,1814933.18
7,30,2,1,2007,0,4,615848.36
14,20,4,1,2018,2,2,827416.42
5,33,3,1,1977,1,4,531003.1
13,30,3,2,2011,1,10,1246243.62
14,24,5,1,1990,1,6,1033220.1
8,39,5,1,2018,2,7,1115600.85
19,30,3,1,1990,1,3,1329039.4
9,34,5,2,1998,1,3,939492.73
20,20,4,3,1998,0,10,1288968.24
18,28,1,1,2020,0,8,1307650.12
13,10,4,3,1952,1,5,551708.01
9,11,3,1,1959,1,4,349730.33
11,39,3,3,1984,0,7,1214124.49
20,24,4,2,1951,0,7,1249077.52
6,36,5,2,1973,0,9,852375.33
18,26,5,1,1987,2,9,1406324.08
10,12,3,3,1971,2,5,541725.54
19,18,2,2,1975,0,8,970218.1
9,33,5,1,1992,1,10,1062297.75
8,23,4,1,2004,0,1,538728.63
6,27,5,2,1988,2,9,817524.81
18,30,4,2,1978,1,8,1465255.67
8,31,3,1,1969,2,6,760206.72
11,37,5,3,1990,1,3,1145777.01
15,12,4,3,2003,2,3,682646.56
8,12,3,3,1969,1,8,553801.98
5,11,2,1,1968,1,5,282105.86
15,37,4,2,2015,1,10,1635597.9
6,27,2,1,1979,1,7,582807.81
19,13,2,2,2002,2,5,786339.22
5,19,1,3,1983,2,8,520591.8
9,20,5,3,1971,1,10,861298.34
20,33,4,2,2016,1,10,1825390.39
6,28,2,2,1955,2,4,500296.18
12,34,1,1,1976,1,2,870076.88
8,31,3,3,1959,1,3,686715.79
11,24,4,1,2022,1,8,959232.51
15,37,2,1,1997,0,7,1363189.43
13,36,5,1,2019,1,2,1244531.53
10,35,1,3,2008,0,6,975604.45
12,31,2,1,2008,1,9,1116815.01
20,38,5,1,1951,2,4,1762283.18
16,18,2,1,1978,0,9,862297.56
18,15,4,1,2017,0,2,783382.84
14,13,4,1,2014,1,2,606839.55
17,18,4,1,1975,1,9,992961.21
19,39,1,3,1959,0,7,1685377.25
8,28,4,1,2002,2,7,837655.04
9,25,5,2,2008,2,1,742908.28
17,18,2,1,1971,1,6,816221.34
8,31,3,1,2000,2,7,841212.51
10,16,5,3,1997,2,6,786557.56
8,40,5,3,1970,1,6,1011053.93
9,25,4,2,1971,2,2,660131.28
10,35,1,2,1979,1,6,903602.69
12,12,2,3,1974,0,4,490469.78
15,26,1,3,1977,1,9,1105965.55
12,38,2,1,2014,0,1,1040318.45
18,36,2,3,1994,0,8,1629144.4
10,26,1,2,2017,2,5,796670.5
18,15,5,1,1956,2,1,710896.31
20,31,2,2,1998,2,4,1486822.84
10,13,1,1,1958,1,1,256654.8
17,40,2,3,1985,2,6,1664827.12
11,34,3,2,1950,0,2,852093.47
18,28,5,1,1959,2,5,1318988.98
18,28,4,1,1985,2,7,1364371.61
19,22,2,3,2022,1,2,1075544.97
5,15,3,3,1995,1,6,514533.84
17,13,4,3,1981,0,6,799795.72
6,28,4,2,1981,1,5,632771.4
12,15,2,1,1955,2,5,515798.13
19,30,1,3,1997,1,3,1321182.15
14,25,2,2,1987,0,10,1050555.49
9,26,3,2,1966,2,10,860813.48
7,37,4,2,1976,0,2,689958.59
14,20,2,3,2003,1,7,908322.02
8,28,1,3,1999,1,1,575653.15
19,38,2,1,1984,0,6,1654342.15
9,22,5,1,1974,2,6,759505.0
16,15,1,3,1977,1,3,614016.46
18,32,3,2,1964,1,2,1299843.22
13,14,4,2,1953,2,2,537860.11
19,39,2,2,2022,1,9,1905505.36
17,10,1,1,1976,0,5,468748.19
16,24,5,2,1975,1,7,1146772.78
20,19,1,1,1968,1,5,889824.1
6,19,5,1,1966,2,7,591664.52
9,17,3,2,1992,0,4,544924.51
19,13,4,2,1990,2,8,926891.69
7,24,3,3,1991,1,10,822553.0
8,32,2,3,1999,1,10,943622.6
6,27,1,2,1989,2,7,596690.03
13,33,5,1,1988,2,10,1347768.59
7,32,5,1,1972,2,5,756445.23
14,15,1,1,2001,0,6,615626.13
12,39,1,1,1996,1,5,1129890.17
19,10,2,1,2012,2,7,728205.04
5,11,3,3,2018,1,2,380292.54
16,11,5,2,1992,0,5,687676.44
7,20,2,3,1997,0,10,698714.16
18,21,3,1,1983,0,3,906477.77
19,23,2,1,1989,0,9,1188329.32
7,11,5,1,2010,1,6,556029.23
9,32,1,1,1999,0,10,878842.56
6,28,1,2,2016,0,3,523475.05
7,27,3,1,2011,2,7,767958.78
8,27,4,2,2007,0,4,729872.11
18,28,3,1,1982,2,3,1198122.98
9,33,4,2,1965,0,8,936858.65
16,38,2,3,1997,0,4,1453344.57
10,36,2,1,1959,2,1,774585.44
13,14,5,2,1987,0,6,748102.05
19,30,4,3,1968,1,10,1594230.53
15,15,5,1,1985,1,1,642017.03
17,16,1,1,2008,0,5,716206.81
12,36,4,1,2012,1,7,1250690.7
17,27,3,2,1995,2,6,1257668.73
7,38,1,2,1952,0,2,563945.58
20,24,1,3,2014,0,4,1182823.89
20,20,3,2,1957,2,2,946237.88
7,22,1,2,2000,2,1,427835.77
6,35,4,1,2022,2,3,745883.93
13,17,5,1,1955,0,3,647269.32
7,30,1,1,1988,2,7,660691.31
9,39,4,1,2009,2,1,925105.61
10,25,2,1,1977,1,9,814441.61
12,39,4,1,2003,1,6,1288818.91
19,26,5,1,1986,0,4,1278467.07
9,26,4,3,1958,1,3,699839.28
12,39,3,3,2005,1,3,1212407.08
11,29,5,3,2008,2,2,999906.55
15,21,2,3,1951,2,2,763087.04
15,27,3,1,2010,1,10,1258204.82
18,12,4,3,2007,1,5,821072.74
12,10,5,1,2009,1,9,738666.75
16,39,2,3,1989,0,2,1417692.96
19,22,3,2,1985,0,2,1009821.59
9,14,2,3,1986,0,6,530487.1
5,17,4,3,1967,1,10,622328.82
7,15,2,1,2012,1,2,375467.14
6,20,1,3,1971,0,4,394065.09
20,28,3,2,1960,0,6,1341830.64
9,18,2,1,2007,1,5,571686.73
9,22,4,1,2006,2,1,614066.61
12,32,4,3,1953,0,6,1054287.45
6,23,2,1,1956,1,1,310784.52
15,37,4,1,2010,1,3,1381910.99
13,26,5,1,2003,2,10,1202464.37
13,32,5,1,2017,1,5,1202401.44
16,33,5,1,1950,1,10,1463462.54
14,39,1,1,2004,0,5,1276454.84
18,19,2,2,1952,0,10,999632.55
13,40,1,3,1987,2,6,1310922.22
19,14,4,2,1950,2,10,944191.5
18,39,1,1,1987,1,8,1660493.84
14,12,4,1,1978,0,5,597774.53
6,19,4,3,1954,2,1,405047.04
17,26,3,2,1970,2,5,1146790.22
19,18,5,3,2020,2,3,1100078.97
12,17,4,2,2016,1,4,751866.09
18,20,3,1,1996,0,8,1047535.66
10,40,5,3,1984,2,7,1259940.9
5,34,4,3,2017,0,5,734736.32
16,40,4,1,2018,2,2,1545734.85
18,36,1,3,1950,2,6,1497329.7
9,32,1,2,2017,0,6,832998.79
20,15,5,2,1961,0,10,1043950.47
11,11,4,2,2009,0,10,714768.13
15,13,2,2,1976,1,6,626410.78
6,36,1,1,2005,2,9,775772.12
6,27,5,3,1972,1,8,783655.24
19,27,4,2,1974,0,8,1383342.5
6,17,4,1,1970,2,1,348448.0
19,21,2,3,2010,1,5,1126811.57
12,22,5,3,2012,2,7,1027519.86
6,28,4,1,2001,1,6,656011.94
13,37,1,1,1974,0,5,1084400.14
8,31,2,2,2004,1,8,848979.46
5,27,5,3,1995,2,3,619787.67
17,25,2,3,1981,2,6,1159083.56
13,36,1,1,2004,2,5,1156438.01
13,15,5,3,1954,2,8,812359.21
12,31,2,2,1985,0,4,911196.96
14,12,3,3,1998,1,8,760724.57
16,37,1,1,2007,0,10,1524502.01
19,14,1,1,1988,0,2,587008.24
15,15,1,2,2010,0,9,808466.37
17,17,3,2,1958,2,9,923299.15
19,21,3,3,1955,2,10,1192744.75
10,16,4,3,1984,2,10,821080.92
10,25,2,1,1988,1,6,735544.14
18,28,4,2,1971,2,4,1282433.39
7,19,2,2,1990,1,4,473587.64
9,30,3,2,1954,2,6,801520.55
10,28,3,3,1991,2,5,879484.61
8,24,4,2,2016,0,6,780437.65
11,31,5,1,1979,0,7,1029178.49
6,24,4,1,2006,0,7,661172.96
13,32,2,3,2022,1,9,1289427.25
9,18,4,3,1978,1,8,744567.53
14,34,1,2,1986,2,6,1199697.67
8,25,2,3,1962,1,6,648477.09
11,34,2,1,1981,2,5,966427.23
20,14,5,2,1995,1,1,823291.53
12,32,3,1,1972,1,9,1103965.21
16,40,2,2,1994,1,9,1655090.04
19,34,3,3,1966,0,9,1653102.64
12,15,4,2,2015,1,8,834401.17
18,11,1,2,1955,0,10,649236.08
20,10,5,1,1967,0,3,622009.4
20,18,3,1,1971,1,1,811598.42
9,12,2,2,1982,2,8,535692.25
16,15,3,3,1979,2,7,849281.04
11,28,2,3,1981,2,5,881189.48
5,13,3,1,1991,1,10,540406.44
8,28,2,3,1959,2,7,729473.76
16,25,4,1,1985,0,10,1205538.17
17,25,2,3,1983,2,4,1077104.59
14,34,2,2,2022,1,9,1371476.94
11,27,1,1,1977,2,10,883761.21
12,10,2,1,1960,0,2,264160.97
16,24,1,2,1988,1,9,1091604.15
10,35,5,1,1996,2,9,1189858.0
18,15,1,3,1968,1,5,730254.58
15,13,4,3,1964,1,1,558330.24
12,40,1,1,1977,1,7,1163522.89
8,38,5,3,1973,2,10,1133963.97
10,38,4,1,2021,1,10,1250416.35
6,22,3,2,1958,2,4,485033.98
6,19,3,1,1996,0,9,598773.62
19,20,1,2,1982,2,6,991790.36
10,20,1,3,2011,0,3,592268.86
17,20,5,2,1968,2,6,1048083.83
13,10,5,3,2016,1,10,831582.65
9,34,2,1,1989,2,6,867528.23
10,35,5,3,1996,1,5,1095180.16
18,32,2,1,2014,0,2,1289983.8
15,14,4,1,1978,2,10,853189.0
13,10,1,2,1999,1,10,645976.87
18,40,4,2,1962,0,2,1600408.43
14,39,5,2,1950,0,7,1406288.21
7,11,4,2,1983,2,2,395725.83
